recordType,counterId,value,unit,formula,evidenceSource,delta,explanation,acceptedByRole,acceptedAt
counter,physical_legacy_boxes,,boxes,,physical count and baseline/old-box-index.csv,,,,
counter,legacy_scan_lines,,lines,,baseline/old-sscc.raw.txt line count,,,,
counter,unique_legacy_ssccs,,sscc,,derived count tied to raw baseline hash,,,,
counter,duplicate_groups,,groups,,baseline/old-box-index.csv and photos/duplicates/,,,,
counter,duplicate_physical_boxes,,boxes,,sum of duplicate group size minus one,,,,
counter,units_scanned,,units,,Station/API system export,,,,
counter,accepted_unique_units,,units,,Station/API system export,,,,
counter,rejected_exception_units,,units,,system export and exception log,,,,
counter,new_closed_boxes,,boxes,,system close export,,,,
counter,unique_new_ssccs,,sscc,,system close export,,,,
counter,disassembled_reprinted_boxes,,boxes,,system export and exception log,,,,
counter,started_at,,timestamp,,manifest.json startedAt,,,,
counter,completed_at,,timestamp,,manifest.json completedAt,,,,
counter,elapsed_seconds,,seconds,completed_at - started_at,manifest.json and operation log,,,,
counter,report_ready_at,,timestamp,,report export metadata,,,,
counter,unexplained_difference,,components,count of non-zero control deltas without explanation and acceptance,control rows and customer act,,,,
control,legacy_box_line_delta,,boxes,legacy_scan_lines - physical_legacy_boxes,counters above,,,,
control,legacy_duplicate_delta,,boxes,legacy_scan_lines - unique_legacy_ssccs - duplicate_physical_boxes,counters above,,,,
control,unit_outcome_delta,,units,units_scanned - accepted_unique_units - rejected_exception_units,counters above,,,,
control,new_box_sscc_delta,,boxes,new_closed_boxes - unique_new_ssccs,counters above,,,,
control,reconciliation_delta,,components,count of non-zero control deltas,control rows and customer act,,,,
